City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Lazaro Cardenas,MX,2021-12-21 05:27:40,17.9583,-102.2,75.61,82,71,3.44
159,Porecatu,BR,2021-12-21 05:27:41,-22.7558,-51.3792,75.67,56,0,4.16
160,Tunari,RO,2021-12-21 05:27:41,44.55,26.15,30.83,80,0,3.44
161,Denpasar,ID,2021-12-21 05:24:51,-8.65,115.2167,87.46,70,20,6.91
162,Bongor,TD,2021-12-21 05:27:42,10.2806,15.3722,65.44,27,6,8.05
163,Mahebourg,MU,2021-12-21 05:27:42,-20.4081,57.7,83.25,74,75,6.91
164,Saskylakh,RU,2021-12-21 05:27:43,71.9167,114.0833,-21.15,99,93,5.5
165,Salalah,OM,2021-12-21 05:27:43,17.0151,54.0924,77.09,65,40,3.44
166,Lang Son,VN,2021-12-21 05:27:44,21.8333,106.7333,72.5,42,0,6.2
167,Mbeya,TZ,2021-12-21 05:27:44,-8.9,33.45,63.77,84,99,4.85
168,Dikson,RU,2021-12-21 05:27:45,73.5069,80.5464,-24.48,97,100,14.12
169,Aripuana,BR,2021-12-21 05:27:45,-9.1667,-60.6333,73.04,100,100,2.66
170,Zambezi,ZM,2021-12-21 05:27:45,-13.5432,23.1047,66.67,92,99,3.94
171,Tasiilaq,GL,2021-12-21 05:27:46,65.6145,-37.6368,32.16,61,83,10.09
172,Touros,BR,2021-12-21 05:27:46,-5.1989,-35.4608,81.5,79,83,10.58
173,Saint George,US,2021-12-21 05:27:47,37.1041,-113.5841,39.79,65,1,0.0
174,Avarua,CK,2021-12-21 05:26:25,-21.2078,-159.775,78.85,73,75,6.91
175,Sorland,NO,2021-12-21 05:27:48,67.667,12.6934,37.56,72,100,20.02
176,Porto Santo,PT,2021-12-21 05:27:48,33.072,-16.3415,61.3,88,40,5.75
177,Darhan,MN,2021-12-21 05:27:48,49.4867,105.9228,5.23,84,99,1.21
178,Smithers,CA,2021-12-21 05:27:49,54.7804,-127.1743,-1.88,84,40,4.61
179,Butaritari,KI,2021-12-21 05:27:49,3.0707,172.7902,81.81,71,91,11.23
180,Tessalit,ML,2021-12-21 05:27:50,20.1986,1.0114,61.56,25,80,10.42
181,Solnechnyy,RU,2021-12-21 05:27:50,50.7214,136.6319,-2.27,86,100,10.29
182,Aranos,NA,2021-12-21 05:27:51,-24.1333,19.1167,68.95,65,27,16.24
183,Nizhniy Odes,RU,2021-12-21 05:28:51,63.6445,54.856,-4.36,88,100,8.63
184,Esperance,AU,2021-12-21 05:28:52,-33.8667,121.9,76.84,56,81,16.98
185,Pevek,RU,2021-12-21 05:28:52,69.7008,170.3133,-6.48,97,100,20.89
186,Synya,RU,2021-12-21 05:28:53,65.3718,58.0387,-0.98,97,100,0.22
187,Chokurdakh,RU,2021-12-21 05:28:53,70.6333,147.9167,-11.43,96,100,12.1
188,Barrow,US,2021-12-21 05:28:53,71.2906,-156.7887,1.42,78,90,25.32
189,Sobolevo,RU,2021-12-21 05:28:54,54.4299,31.8996,7.41,87,97,9.71
190,Coihaique,CL,2021-12-21 05:28:54,-45.5752,-72.0662,56.01,43,60,2.3
191,Luwuk,ID,2021-12-21 05:28:55,-0.9516,122.7875,79.66,89,100,3.6
192,Zharkent,KZ,2021-12-21 05:28:55,44.1628,80.0,38.8,58,57,2.62
193,Zhanaozen,KZ,2021-12-21 05:28:55,43.3,52.8,46.24,90,100,18.52
194,Socorro,US,2021-12-21 05:28:36,31.6546,-106.3033,53.89,33,1,9.22
